cid,w_start,w_end,active_days,n_rows,days_with_readings
29098,2020-01-01 20:51:28.310,2024-04-30 04:27:36.504,1582,2538,1556
16104,2020-01-02 11:18:39.090,2023-10-05 15:52:58.366,1373,1801,963
1866,2023-06-16 15:47:11.179,2024-04-30 10:13:01.500,320,7636,320
629,2020-01-01 09:35:00.723,2024-04-24 15:28:52.240,1576,2179,1268
1610,2020-01-01 22:08:48.685,2024-04-29 17:42:36.674,1581,2092,1517
5673,2020-01-01 00:25:10.133,2024-04-30 06:34:31.612,1582,3126,1579
10149,2020-01-01 14:31:17.246,2024-04-30 02:00:43.560,1582,3338,1525
11264,2020-01-01 17:10:24.668,2024-04-29 20:49:44.279,1581,2358,1482
11819,2020-01-01 19:06:20.992,2024-04-30 10:23:35.994,1582,2572,1550
7597,2023-12-09 02:13:30.748,2024-04-30 12:56:37.291,144,3385,144
10134,2020-01-01 03:22:40.482,2024-04-29 21:07:54.725,1581,2895,1423
8136,2023-10-29 17:02:02.805,2024-04-30 12:08:20.118,185,4465,185
11564,2023-06-15 09:23:43.218,2024-04-30 07:00:05.844,321,7704,321
17956,2020-09-17 14:09:20.039,2024-04-29 18:24:12.609,1321,2374,1317
5930,2020-01-01 02:16:28.684,2024-04-30 08:16:36.523,1582,3696,1551
22056,2020-02-05 17:03:55.222,2024-04-29 14:21:20.958,1546,2228,1538
12482,2020-01-01 19:57:21.389,2024-04-30 09:42:38.917,1582,2113,1576
2171,2020-01-01 02:57:29.373,2024-04-30 08:28:21.648,1582,1942,1564
10194,2020-01-01 20:36:01.130,2024-04-29 20:08:34.939,1581,1931,1528
14370,2024-01-17 05:43:26.331,2024-04-30 12:31:59.187,105,2451,105
7947,2020-01-01 16:32:09.919,2024-04-30 07:30:33.199,1582,2448,1520
13081,2020-01-01 12:35:29.425,2024-04-30 07:55:28.970,1582,2247,1560
5642,2021-02-15 13:34:56.993,2024-03-13 06:10:57.486,1123,1564,1108
7702,2020-01-01 12:20:14.332,2024-04-30 10:22:51.005,1582,2507,1564
24557,2023-06-13 21:41:56.016,2024-04-29 20:17:56.510,322,7861,322
6915,2020-02-05 17:05:54.771,2024-04-30 11:31:08.840,1547,2178,1291
11213,2020-01-01 18:28:10.411,2024-04-30 03:00:08.136,1582,2211,1576
13929,2023-12-05 20:54:37.918,2024-04-30 01:27:47.120,148,3511,148
11558,2020-01-01 09:16:26.153,2024-04-29 23:26:57.484,1581,2126,1555
15956,2023-06-15 16:58:52.336,2024-04-29 20:10:48.465,320,7869,320
17766,2023-07-14 16:41:30.239,2024-04-29 23:57:18.617,291,5205,231
11992,2021-02-25 15:37:15.709,2024-04-29 23:58:00.159,1160,1942,1160
3137,2020-01-01 16:23:30.327,2024-04-29 23:31:14.466,1581,2001,1546
18823,2021-02-25 15:50:03.169,2024-04-30 07:29:16.084,1161,1770,1158
197,2020-01-01 02:21:00.798,2024-04-29 12:39:49.221,1581,1920,1540
11026,2020-05-05 15:04:55.293,2024-04-29 12:53:39.357,1456,1807,1404
9660,2020-01-01 07:12:02.622,2024-04-30 07:48:57.495,1582,2985,1551
1298,2020-01-01 14:44:49.671,2024-04-29 20:00:18.300,1581,2079,1535
11833,2023-09-07 06:35:43.552,2024-04-29 20:52:00.492,236,5857,236
20390,2023-06-16 13:28:16.178,2024-04-30 10:58:52.248,320,7688,320
9579,2020-05-05 16:24:02.037,2023-10-12 14:30:29.361,1256,1540,1081
11835,2020-01-01 05:22:20.647,2024-04-29 09:54:37.658,1581,2274,1574
10200,2020-09-18 08:58:08.035,2024-04-29 14:57:32.261,1320,1878,1071
25444,2023-07-17 17:06:45.291,2024-04-29 19:49:03.932,288,10218,228
10548,2020-01-01 02:56:02.326,2024-04-30 11:22:29.280,1582,2274,1574
11883,2020-01-01 12:14:41.809,2024-04-29 16:46:24.869,1581,2080,1330
11838,2020-10-22 12:04:45.398,2024-04-30 12:57:19.987,1287,1826,1280
10103,2020-01-01 22:07:36.005,2024-04-24 13:51:56.042,1576,1655,1261
192,2020-01-16 05:02:40.071,2024-04-30 08:26:05.948,1567,1515,1096
9545,2020-01-01 11:11:04.792,2024-04-14 14:34:01.262,1566,1465,1098
18136,2020-09-18 15:29:59.639,2024-04-24 13:36:05.101,1315,2462,1174
20619,2020-01-01 23:26:28.882,2024-04-30 12:50:21.552,1582,3283,1564
17812,2020-10-24 16:36:00.639,2024-04-30 13:01:38.553,1285,2630,1248
11811,2020-01-01 23:41:24.027,2024-04-29 15:17:39.603,1581,2284,1416
